2024-08-05 15:42:45,164 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
2024-08-05 15:42:50,324 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getDefaultTestExecutionListenerClassNames:245) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-08-05 15:42:50,324 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getTestExecutionListeners:174) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56f1a058, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4b27ed58, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5c4295e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3f66b945, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@644e2d91, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10f7516d, org.springframework.test.context.event.EventPublishingTestExecutionListener@34dd04f4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e7b2fbb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2bccbf40, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@11aff6d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5dbcb11e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3add5be5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@74a5c541]
2024-08-05 15:42:50,509 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarting:55) - Starting ApiApplicationTests using Java 15.0.10 on daou-danae with PID 25812 (started by daou-danae in C:\Users\danae\Desktop\Homework)
2024-08-05 15:42:50,525 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStartupProfileInfo:664) - No active profile set, falling back to default profiles: default
2024-08-05 15:42:51,603 [Test worker] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:53) - Adding welcome page: class path resource [static/index.html]
2024-08-05 15:42:51,918 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarted:61) - Started ApiApplicationTests in 1.56 seconds (JVM running for 2.393)
2024-08-05 15:43:00,316 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
2024-08-05 15:43:00,316 [Test worker] INFO  org.springframework.test.context.support.AbstractContextLoader(generateDefaultLocations:264) - Could not detect default resource locations for test class [kr.co.daou.api.ApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-05 15:43:00,316 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(detectDefaultConfigurationClasses:83) - Could not detect default configuration classes for test class [kr.co.daou.api.ApiApplicationTests]: ApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-05 15:43:00,379 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getOrFindConfigurationClasses:238) - Found @SpringBootConfiguration kr.co.daou.api.ApiApplication for test class kr.co.daou.api.ApiApplicationTests
2024-08-05 15:43:00,425 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getDefaultTestExecutionListenerClassNames:245) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-08-05 15:43:00,425 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getTestExecutionListeners:174) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56f1a058, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4b27ed58, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5c4295e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3f66b945, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@644e2d91, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10f7516d, org.springframework.test.context.event.EventPublishingTestExecutionListener@34dd04f4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e7b2fbb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2bccbf40, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@11aff6d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5dbcb11e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3add5be5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@74a5c541]
2024-08-05 15:43:00,626 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarting:55) - Starting ApiApplicationTests using Java 15.0.10 on daou-danae with PID 24252 (started by daou-danae in C:\Users\danae\Desktop\Homework)
2024-08-05 15:43:00,626 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStartupProfileInfo:664) - No active profile set, falling back to default profiles: default
2024-08-05 15:43:01,753 [Test worker] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:53) - Adding welcome page: class path resource [static/index.html]
2024-08-05 15:43:02,054 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarted:61) - Started ApiApplicationTests in 1.596 seconds (JVM running for 2.439)
2024-08-05 15:43:32,077 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
2024-08-05 15:43:32,084 [Test worker] INFO  org.springframework.test.context.support.AbstractContextLoader(generateDefaultLocations:264) - Could not detect default resource locations for test class [kr.co.daou.api.ApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-05 15:43:32,085 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(detectDefaultConfigurationClasses:83) - Could not detect default configuration classes for test class [kr.co.daou.api.ApiApplicationTests]: ApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-05 15:43:32,141 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getOrFindConfigurationClasses:238) - Found @SpringBootConfiguration kr.co.daou.api.ApiApplication for test class kr.co.daou.api.ApiApplicationTests
2024-08-05 15:43:32,195 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getDefaultTestExecutionListenerClassNames:245) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-08-05 15:43:32,203 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getTestExecutionListeners:174) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56f1a058, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4b27ed58, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5c4295e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3f66b945, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@644e2d91, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10f7516d, org.springframework.test.context.event.EventPublishingTestExecutionListener@34dd04f4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e7b2fbb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2bccbf40, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@11aff6d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5dbcb11e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3add5be5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@74a5c541]
2024-08-05 15:43:32,407 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarting:55) - Starting ApiApplicationTests using Java 15.0.10 on daou-danae with PID 24400 (started by daou-danae in C:\Users\danae\Desktop\Homework)
2024-08-05 15:43:32,407 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStartupProfileInfo:664) - No active profile set, falling back to default profiles: default
2024-08-05 15:43:33,603 [Test worker] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:53) - Adding welcome page: class path resource [static/index.html]
2024-08-05 15:43:33,899 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarted:61) - Started ApiApplicationTests in 1.675 seconds (JVM running for 2.526)
